Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
Third,8,10,6,Right-handed,Left leg in first,On your right side
Third,9,8,6,Right-handed,Left leg in first,On your right side
Third,2,1,6,Right-handed,Right leg in first,On your right side
Third,3,3,6,Right-handed,Right leg in first,On your right side
Third,3,4,6,Right-handed,Right leg in first,On your right side
Third,5,4,6,Right-handed,Right leg in first,On your right side
Third,5,5,6,Right-handed,Right leg in first,On your right side
Third,5,6,6,Right-handed,Right leg in first,On your right side
Third,7,7,6,Right-handed,Right leg in first,On your right side
Third,7,8,6,Right-handed,Right leg in first,On your right side
Third,8,2,6,Right-handed,Right leg in first,On your right side
Third,3,2,6,Right-handed,I don't know,On your stomach
Third,3,5,6,Right-handed,Left leg in first,On your stomach
Third,6,3,6,Right-handed,Left leg in first,On your stomach
Third,10,15,6,Right-handed,Right leg in first,On your stomach
First,3,2,6.5,Right-handed,Right leg in first,On your back
First,2,2,6.5,Right-handed,Right leg in first,On your left side
First,7,3,6.5,Right-handed,Right leg in first,On your left side
First,8,3,6.5,Right-handed,Left leg in first,On your right side
First,5,5,6.5,Right-handed,Right leg in first,On your right side
Fourth,4,3,6.5,Right-handed,Left leg in first,On your right side
Fourth,5,3,6.5,Right-handed,Right leg in first,On your right side
Second,3,4,6.5,Right-handed,I don't know,On your back
Second,4,7,6.5,Right-handed,Right leg in first,On your back
Second,3,3,6.5,Right-handed,Left leg in first,On your left side
Second,5,2,6.5,Right-handed,Left leg in first,On your right side
Second,8,3,6.5,Right-handed,Left leg in first,On your right side
Third,7,5,6.5,Right-handed,Right leg in first,On your back
First,6,5,6.9,Right-handed,Right leg in first,On your stomach
Fifth or above,8,9,7,Right-handed,Left leg in first,On your back
Fifth or above,5,2,7,Right-handed,Right leg in first,On your back
Fifth or above,5,3,7,Right-handed,Right leg in first,On your left side
First,2,2,7,Right-handed,I don't know,On your back
First,3,4,7,Left-handed,I don't know,On your back
First,3,20,7,Right-handed,I don't know,On your back
First,4,1,7,Right-handed,I don't know,On your back
First,4,3,7,Right-handed,I don't know,On your back
First,5,10,7,Right-handed,I don't know,On your back
First,6,5,7,Right-handed,I don't know,On your back
First,6,10,7,Right-handed,I don't know,On your back
First,4,5,7,Right-handed,Left leg in first,On your back
First,5,3,7,Right-handed,Left leg in first,On your back
First,6,3,7,Right-handed,Left leg in first,On your back
First,6,5,7,Right-handed,Left leg in first,On your back
First,7,14,7,Right-handed,Left leg in first,On your back
First,8,4,7,Right-handed,Left leg in first,On your back
First,8,10,7,Left-handed,Left leg in first,On your back
First,10,70,7,Right-handed,Left leg in first,On your back
First,2,4,7,Right-handed,Right leg in first,On your back
First,3,4,7,Right-handed,Right leg in first,On your back
First,3,5,7,Right-handed,Right leg in first,On your back
First,3,8,7,Right-handed,Right leg in first,On your back
First,3,8,7,Right-handed,Right leg in first,On your back
First,3,12,7,Right-handed,Right leg in first,On your back
First,4,4,7,Right-handed,Right leg in first,On your back
First,4,4,7,Right-handed,Right leg in first,On your back
First,4,6,7,Right-handed,Right leg in first,On your back
First,4,6,7,Right-handed,Right leg in first,On your back
First,4,10,7,Right-handed,Right leg in first,On your back
First,5,1,7,Right-handed,Right leg in first,On your back
First,5,2,7,Right-handed,Right leg in first,On your back
First,5,3,7,Right-handed,Right leg in first,On your back
First,5,10,7,Right-handed,Right leg in first,On your back
First,6,2,7,Right-handed,Right leg in first,On your back
First,6,4,7,Right-handed,Right leg in first,On your back
First,7,5,7,Right-handed,Right leg in first,On your back
First,8,15,7,Right-handed,Right leg in first,On your back
First,9,7,7,Right-handed,Right leg in first,On your back
First,9,15,7,Right-handed,Right leg in first,On your back
